Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=132.STS.M.I8.S.UNEH.RTT000.4.000
,STS.M.I8.S.UNEH.RTT000.4.000
2013Mar,12.050000
2013Feb,12.050000
2013Jan,12.020000
2012Dec,11.880000
2012Nov,11.820000
2012Oct,11.740000
2012Sep,11.590000
2012Aug,11.510000
2012Jul,11.470000
2012Jun,11.400000
2012May,11.310000
2012Apr,11.210000
2012Mar,11.080000
2012Feb,10.910000
2012Jan,10.770000
2011Dec,10.720000
2011Nov,10.610000
2011Oct,10.460000
2011Sep,10.380000
2011Aug,10.250000
2011Jul,10.160000
2011Jun,10.050000
2011May,10.000000
2011Apr,9.960000
2011Mar,10.010000
2011Feb,10.030000
2011Jan,10.080000
2010Dec,10.120000
2010Nov,10.140000
2010Oct,10.200000
2010Sep,10.190000
2010Aug,10.190000
2010Jul,10.190000
2010Jun,10.260000
2010May,10.290000
2010Apr,10.290000
2010Mar,10.230000
2010Feb,10.210000
2010Jan,10.150000
2009Dec,10.140000
2009Nov,10.080000
2009Oct,10.060000
2009Sep,10.000000
2009Aug,9.880000
2009Jul,9.790000
2009Jun,9.690000
2009May,9.570000
2009Apr,9.470000
2009Mar,9.320000
2009Feb,9.010000
2009Jan,8.710000
2008Dec,8.310000
2008Nov,8.050000
2008Oct,7.810000
2008Sep,7.660000
2008Aug,7.580000
2008Jul,7.480000
2008Jun,7.470000
2008May,7.390000
2008Apr,7.360000
2008Mar,7.270000
2008Feb,7.310000
2008Jan,7.330000
2007Dec,7.330000
2007Nov,7.320000
2007Oct,7.350000
2007Sep,7.390000
2007Aug,7.470000
2007Jul,7.510000
2007Jun,7.460000
2007May,7.540000
2007Apr,7.570000
2007Mar,7.670000
2007Feb,7.760000
2007Jan,7.870000
2006Dec,7.930000
2006Nov,8.050000
2006Oct,8.110000
2006Sep,8.170000
2006Aug,8.250000
2006Jul,8.290000
2006Jun,8.360000
2006May,8.490000
2006Apr,8.580000
2006Mar,8.680000
2006Feb,8.760000
2006Jan,8.800000
2005Dec,8.890000
2005Nov,8.940000
2005Oct,9.020000
2005Sep,9.040000
2005Aug,9.020000
2005Jul,9.080000
2005Jun,9.180000
2005May,9.180000
2005Apr,9.240000
2005Mar,9.170000
2005Feb,9.170000
2005Jan,9.150000
2004Dec,9.210000
2004Nov,9.280000
2004Oct,9.260000
2004Sep,9.270000
2004Aug,9.230000
2004Jul,9.210000
2004Jun,9.220000
2004May,9.260000
2004Apr,9.270000
2004Mar,9.280000
2004Feb,9.240000
2004Jan,9.210000
2003Dec,9.140000
2003Nov,9.080000
2003Oct,9.080000
2003Sep,9.080000
2003Aug,9.070000
2003Jul,9.080000
2003Jun,9.090000
2003May,9.040000
2003Apr,9.010000
2003Mar,9.030000
2003Feb,8.990000
2003Jan,8.980000
2002Dec,8.930000
2002Nov,8.860000
2002Oct,8.800000
2002Sep,8.770000
2002Aug,8.720000
2002Jul,8.680000
2002Jun,8.610000
2002May,8.560000
2002Apr,8.540000
2002Mar,8.480000
2002Feb,8.500000
2002Jan,8.450000
2001Dec,8.470000
2001Nov,8.460000
2001Oct,8.430000
2001Sep,8.390000
2001Aug,8.370000
2001Jul,8.360000
2001Jun,8.360000
2001May,8.380000
2001Apr,8.360000
2001Mar,8.390000
2001Feb,8.420000
2001Jan,8.460000
2000Dec,8.570000
2000Nov,8.650000
2000Oct,8.710000
2000Sep,8.830000
2000Aug,8.880000
2000Jul,8.940000
2000Jun,8.990000
2000May,9.030000
2000Apr,9.090000
2000Mar,9.180000
2000Feb,9.280000
2000Jan,9.360000
1999Dec,9.470000
1999Nov,9.550000
1999Oct,9.590000
1999Sep,9.660000
1999Aug,9.720000
1999Jul,9.770000
1999Jun,9.830000
1999May,9.870000
1999Apr,9.920000
1999Mar,9.930000
1999Feb,9.990000
1999Jan,10.070000
1998Dec,10.200000
1998Nov,10.270000
1998Oct,10.320000
1998Sep,10.350000
1998Aug,10.410000
1998Jul,10.470000
1998Jun,10.550000
1998May,10.570000
1998Apr,10.610000
